日期,时间,员工,机台编号,产量
2023年12月14日,9:55:21,234567,1,0
2023年12月14日,9:57:19,234567,1,0
2023年12月14日,9:59:46,234567,1,0
2023年12月14日,9:59:49,234567,1,0
2023年12月14日,9:59:51,234567,1,0
2023年12月14日,9:59:53,234567,1,0
2023年12月14日,9:59:57,234567,1,23
2023年12月14日,11:07:02,zxx,1,12
2023年12月14日,11:07:13,zxx,1,12
2023年12月14日,11:07:32,zxx,1,12
2023年12月14日,11:07:36,zxx,1,12
2023年12月14日,11:08:34,zxx,1,12
2023年12月14日,11:11:12,zxx,1,12
2023年12月14日,11:11:15,zxx,1,12
2023年12月14日,11:13:59,zxx,1,12
2023年12月14日,11:14:02,zxx,1,12
2023年12月14日,11:14:05,zxx,1,12
2023年12月14日,11:19:45,zxx,1,1
2023年12月14日,11:19:50,zxx,1,1
2023年12月14日,11:19:54,zxx,1,1
2023年12月14日,11:21:18,zxx,1,1
2023年12月14日,11:21:38,zxx,1,1
2023年12月14日,11:21:42,zxx,1,1
2023年12月14日,11:23:35,zxx,1,1
2023年12月14日,11:30:00,zxx,1,1
2023年12月14日,11:30:14,zxx,1,1
2023年12月14日,11:32:14,zxx,1,1
2023年12月14日,11:33:02,zxx,1,1
2023年12月14日,11:34:06,zxx,1,1
2023年12月14日,11:47:38,zxx,1,1
2023年12月14日,12:15:11,zxx,1,1
2023年12月14日,12:15:16,zxx,1,1
2023年12月14日,12:15:56,zxx,1,1
2023年12月14日,12:19:51,zxx,1,1
2023年12月14日,12:22:19,zxx,1,1
2023年12月14日,12:22:21,zxx,1,1
2023年12月14日,12:24:10,zxx,1,1
2023年12月14日,12:24:13,zxx,1,1
2023年12月14日,12:24:17,zxx,1,1
2023年12月14日,12:24:19,zxx,1,1
2023年12月14日,12:24:22,zxx,1,1
2023年12月14日,12:24:25,zxx,1,1
