日期,时间,员工,机台编号,产量
2023年12月8日,17:03:22,zjl,1,2
2023年12月8日,17:20:31,zxx,1,0
2023年12月8日,17:20:39,zxx,1,0
2023年12月8日,17:21:01,zxx,1,1
2023年12月8日,17:21:27,zjl,1,1
2023年12月8日,17:21:39,zxx,1,2
2023年12月8日,17:27:58,zjl,1,0
2023年12月8日,17:28:05,zjl,1,0
2023年12月8日,17:28:24,zjl,1,0
2023年12月8日,17:28:52,zjl,1,3
2023年12月8日,17:29:23,zxx1,1,2
2023年12月9日,18:29:23,zxx2,1,2
2023年12月10日,19:29:23,zxx3,1,2
2023年12月11日,20:29:23,zxx4,1,2
2023年12月12日,21:29:23,zxx5,1,2
2023年12月13日,22:29:23,zxx6,1,2
2023年12月14日,23:29:23,zxx7,1,2
2023年12月15日,0:29:23,zxx8,1,2
2023年12月16日,1:29:23,zxx9,1,2
2023年12月17日,2:29:23,zxx10,1,2
